date,output,total_income_support
2021-08-02,[location_key=US_OH],1.0
2021-08-02,[location_key=US_OH],1.0
2021-08-02,[location_key=US_OH],1.0
2021-08-02,[location_key=US_OH],1.0
2021-08-02,[location_key=US_OH],1.0
2021-08-02,"[location_key=US_OK,school_closing=1]",1.0
2021-08-02,"[location_key=US_OK,school_closing=1]",1.0
2021-08-02,"[location_key=US_OK,school_closing=1]",1.0
2021-08-02,"[location_key=US_OK,school_closing=1]",1.0
2021-08-02,"[location_key=US_OK,school_closing=1]",1.0
2021-08-02,"[location_key=US_OK,school_closing=1]",1.0
2021-08-02,"[location_key=US_OK,school_closing=1]",1.0
2021-08-02,[location_key=US_OK],1.0
2021-08-02,[location_key=US_OK],1.0
2021-08-02,[location_key=US_OK],1.0
2021-08-02,[location_key=US_OK],1.0
2021-08-02,[location_key=US_OK],1.0
2021-08-02,[location_key=US_OK],1.0
2021-08-02,[location_key=US_OK],1.0
2021-08-02,"[location_key=US_OR,school_closing=1]",1.0
2021-08-02,"[location_key=US_OR,school_closing=1]",1.0
2021-08-02,"[location_key=US_OR,school_closing=1]",1.0
2021-08-02,"[location_key=US_OR,school_closing=1]",1.0
2021-08-02,"[location_key=US_OR,school_closing=1]",1.0
2021-08-02,"[location_key=US_OR,school_closing=1]",1.0
2021-08-02,"[location_key=US_OR,school_closing=1]",1.0
2021-08-02,[location_key=US_OR],1.0
2021-08-02,[location_key=US_OR],1.0
2021-08-02,[location_key=US_OR],1.0
2021-08-02,[location_key=US_OR],1.0
2021-08-02,[location_key=US_OR],1.0
2021-08-02,[location_key=US_OR],1.0
2021-08-02,[location_key=US_OR],1.0
2021-08-02,"[location_key=US_PA,school_closing=0]",1.0
2021-08-02,"[location_key=US_PA,school_closing=0]",1.0
2021-08-02,"[location_key=US_PA,school_closing=0]",1.0
2021-08-02,"[location_key=US_PA,school_closing=0]",1.0
2021-08-02,"[location_key=US_PA,school_closing=0]",1.0
2021-08-02,"[location_key=US_PA,school_closing=0]",1.0
2021-08-02,"[location_key=US_PA,school_closing=0]",1.0
2021-08-02,[location_key=US_PA],1.0
2021-08-02,[location_key=US_PA],1.0
2021-08-02,[location_key=US_PA],1.0
2021-08-02,[location_key=US_PA],1.0
2021-08-02,[location_key=US_PA],1.0
2021-08-02,[location_key=US_PA],1.0
2021-08-02,[location_key=US_PA],1.0
2021-08-02,"[location_key=US_RI,school_closing=1]",1.0
2021-08-02,"[location_key=US_RI,school_closing=1]",1.0
2021-08-02,"[location_key=US_RI,school_closing=1]",1.0
2021-08-02,"[location_key=US_RI,school_closing=1]",1.0
2021-08-02,"[location_key=US_RI,school_closing=1]",1.0
2021-08-02,"[location_key=US_RI,school_closing=1]",1.0
2021-08-02,"[location_key=US_RI,school_closing=1]",1.0
2021-08-02,[location_key=US_RI],1.0
2021-08-02,[location_key=US_RI],1.0
2021-08-02,[location_key=US_RI],1.0
2021-08-02,[location_key=US_RI],1.0
2021-08-02,[location_key=US_RI],1.0
2021-08-02,[location_key=US_RI],1.0
2021-08-02,[location_key=US_RI],1.0
2021-08-02,"[location_key=US_SC,school_closing=1]",1.0
2021-08-02,"[location_key=US_SC,school_closing=1]",1.0
